Province/State,Country,Date,N,varN,C,varC,R,varR,D,varD,M,varM 
,Switzerland,2020-01-22,0.02973488171547037,0.012524804812929696-0.06952464233424689,0.0014867440857735186,0.0006262402406464849-0.0034762321167123448,4.453609386419564e-06,1.5409732155426488e-06-1.2659610743192387e-05,7.609518004728128e-47,1.8208626335233973e-57-1.6503759038260386e-36,0.00014977726930396547,2.2164417734567566e-05-0.0010107631162541973
,Switzerland,2020-01-23,0.036728393239385294,0.015589188318719253-0.08522316405445905,0.0018364196619692647,0.0007794594159359627-0.004261158202722953,5.931442293736154e-06,2.069195575286827e-06-1.672284918696613e-05,4.999110564283267e-46,1.6961179047641439e-56-7.646720306690089e-36,0.00016149473937170864,2.4279731904398385e-05-0.0010727209682165168
,Switzerland,2020-01-24,0.04536674743019213,0.01940331972912738-0.10446637958258301,0.0022683373715096065,0.000970165986456369-0.00522331897912915,7.89966174204518e-06,2.7784845872732285e-06-2.2090227780517088e-05,3.284190459684896e-45,1.5799192612870216e-55-3.54297050224681e-35,0.00017412889813625602,2.659692619171103e-05-0.0011384767188759067
,Switzerland,2020-01-25,0.05603680391191717,0.024150636236377004-0.12805467335680035,0.002801840195595859,0.0012075318118188504-0.0064027336678400175,1.0520991783838242e-05,3.730907166976576e-06-2.918032435375741e-05,2.1575651982068118e-44,1.4716812228527855e-54-1.6415717426998224e-34,0.00018775146063604772,2.913526753202597e-05-0.0012082631723716005
,Switzerland,2020-01-26,0.06921640994644543,0.030059455720404662-0.15696915489061916,0.0034608204973222718,0.0015029727860202333-0.007848457744530959,1.401215289084996e-05,5.009805831694418e-06-3.854606380022682e-05,1.4174231493747482e-43,1.3708584196468025e-53-7.605927807532087e-34,0.00020243975238952054,3.191586165565714e-05-0.0012823274033555226
,Switzerland,2020-01-27,0.08549580030903818,0.03741395748753978-0.19241246607664342,0.004274790015451909,0.001870697874376989-0.009620623303832171,1.8661779485279074e-05,6.7270916557304315e-06-5.091783821440716e-05,9.31183162415308e-43,1.2769428443706248e-52-3.524070030484651e-33,0.00021827714832568502,3.4961828580539256e-05-0.0013609316317677613
,Switzerland,2020-01-28,0.10560403031318762,0.046567849612116935-0.2358588026713136,0.0052802015156593815,0.0023283924806058467-0.011792940133565681,2.4854283012019317e-05,9.03303714053858e-06-6.726046690161109e-05,6.117453932851886e-42,1.189461292588812e-51-1.6328145486027044e-32,0.00023535354605605014,3.829849485468123e-05-0.0014443541512406436
,Switzerland,2020-01-29,0.13044162575594814,0.057961380198428475-0.2891152304913116,0.006522081287797407,0.002898069009921424-0.014455761524565581,3.310163344969851e-05,1.2129425932944575e-05-8.88484383166295e-05,4.0188916779268646e-41,1.10797297843383e-50-7.565352921667105e-32,0.00025376587617537475,4.195360414715019e-05-0.0015328903144207473
,Switzerland,2020-01-30,0.16112091197090506,0.07214251070268048-0.35439684662560755,0.008056045598545253,0.003607125535134024-0.017719842331280378,4.4085686821324676e-05,1.62872100682989e-05-0.00011736530171310704,2.640230804546483e-40,1.032067313655652e-49-3.50527038593305e-31,0.00027361865248929073,4.595754793920347e-05-0.001626853578700669
,Switzerland,2020-01-31,0.19901582807331464,0.0897932696242449-0.43441891181104436,0.009950791403665733,0.004489663481212245-0.02172094559055222,5.8714558163940856e-05,2.1870219850072984e-05-0.00015503495961343065,1.734512711442909e-39,9.613618388257675e-49-1.6241040709825448e-30,0.0002950245652939285,5.0343618234524964e-05-0.001726576616067113
